target_timestamp,y_true,baseline_y_pred,baseline_lower,baseline_upper,best_y_pred,best_lower,best_upper
2024-01-20 16:00:00,72.0,20.0,-7.0,47.0,39.15078965456789,17.534940038417385,58.21776116889358
2024-01-20 17:00:00,61.0,31.0,4.0,58.0,39.278390509584334,14.093155227519905,55.84046068214566
2024-01-20 18:00:00,43.0,35.0,8.0,62.0,34.637440953735904,11.94846198856576,54.359835028794926
2024-01-20 19:00:00,31.0,34.0,7.0,61.0,29.444466150011653,4.497169306107407,50.804044430792295
2024-01-20 20:00:00,29.0,11.0,-16.0,38.0,21.559876717804602,1.3430306327625758,46.608577999629546
2024-01-20 21:00:00,28.0,10.0,-17.0,37.0,20.08688874555543,0.7666241044065525,46.406602103390625
2024-01-20 22:00:00,21.0,27.0,0.0,54.0,24.21356043660402,2.577779677665185,49.6326571221673
2024-01-20 23:00:00,24.0,38.0,11.0,65.0,30.04470667941429,4.608917470464531,53.0927751175914
2024-01-21 00:00:00,16.0,51.0,24.0,78.0,34.22557942255129,4.973219663399166,57.234968621152916
2024-01-21 01:00:00,14.0,42.0,15.0,69.0,30.769220085388064,3.567493836245755,55.76432884515194
2024-01-21 02:00:00,35.0,32.0,5.0,59.0,27.07557547837844,2.5918778470060033,54.396149099281416
2024-01-21 03:00:00,27.0,34.0,7.0,61.0,29.464240641997517,2.640668995501545,55.60869064632716
2024-01-21 04:00:00,37.0,18.0,-9.0,45.0,28.07205831130875,2.200976475863715,55.02006848037344
2024-01-21 05:00:00,45.0,16.0,-11.0,43.0,27.407538292667674,2.2173357339918103,53.63377265719731
2024-01-21 06:00:00,38.0,17.0,-10.0,44.0,27.474334139977316,2.370465238659472,51.54572143436553
2024-01-21 07:00:00,29.0,20.0,-7.0,47.0,27.529717376940802,3.0765408135801797,48.11232381369656
2024-01-21 08:00:00,29.0,14.0,-13.0,41.0,23.516664774515924,2.659748904793854,46.02273192104296
2024-01-21 09:00:00,26.0,31.0,4.0,58.0,30.318907057199464,5.441714730697505,48.600900086401396
2024-01-21 10:00:00,43.0,45.0,18.0,72.0,38.72446600506649,12.060866872316218,56.191264864299654
2024-01-21 11:00:00,50.0,44.0,17.0,71.0,40.71068559410385,16.89003617313569,58.078714630249365
2024-01-21 12:00:00,63.0,51.0,24.0,78.0,44.19557355092786,22.57764634415666,61.84874152967693
