window_idx,start,end,n_hours,observed_mean,observed_p90,observed_max,central_mae,prelim_coverage,prelim_mean_width,prelim_mean_interval_score,calibrated_coverage,calibrated_mean_width,calibrated_mean_interval_score,passes_high_o3_filter,distance_to_target_interval_score,coverage_abs_error
53,2024-05-21,2024-05-27 23:00:00,168,63.345238095238095,78.30000000000001,97.0,7.783501989351493,0.8452380952380952,29.834453996642697,38.063636547065876,0.8630952380952381,31.577963566739864,38.5947537984296,False,10.368406748429088,0.0630952380952381
54,2024-05-22,2024-05-28 23:00:00,168,61.36309523809524,78.0,97.0,7.854196100128393,0.8432539682539683,29.6267291082614,38.33763551592723,0.8591269841269841,31.37023867835856,38.8337950712184,False,10.129365475640292,0.05912698412698403
55,2024-05-23,2024-05-29 23:00:00,168,59.01190476190476,76.30000000000001,97.0,7.300743433665966,0.8869047619047619,29.952889397593285,35.98166592740001,0.9027777777777778,31.69639896769045,36.797038696374166,False,12.166121850484522,0.10277777777777775
56,2024-05-24,2024-05-30 23:00:00,168,59.232142857142854,76.30000000000001,97.0,7.9260869762354185,0.8492063492063492,29.973443526413373,37.68692492008824,0.8690476190476191,31.716953096510537,38.18822243016576,False,10.77493811669293,0.06904761904761902
57,2024-06-08,2024-06-14 23:00:00,168,55.20238095238095,85.30000000000001,96.0,10.201553831763592,0.7797619047619048,31.300226468128606,46.29800541827919,0.8095238095238095,33.04373603822577,46.18913824750302,False,2.7740222993556714,0.00952380952380949
58,2024-06-09,2024-06-15 23:00:00,168,51.32738095238095,76.30000000000001,96.0,9.479028881088302,0.8134920634920635,30.971825767599913,43.36202135141823,0.8333333333333334,32.71533533769708,43.54417362792197,False,5.418986918936717,0.033333333333333326
59,2024-06-10,2024-06-16 23:00:00,168,48.208333333333336,72.0,81.0,8.748236283032142,0.8432539682539683,31.09422946295732,40.79051305601845,0.8591269841269841,32.837739033054476,41.1804488340811,False,7.782711712777591,0.05912698412698403
60,2024-06-11,2024-06-17 23:00:00,168,49.142857142857146,73.0,81.0,8.494260169142787,0.8412698412698413,30.673873288548247,39.597119845721835,0.8630952380952381,32.41738285864542,40.033348320176046,False,8.929812226682643,0.0630952380952381
61,2024-06-20,2024-06-26 23:00:00,168,59.482142857142854,79.60000000000002,107.0,9.615971805389542,0.7777777777777778,29.698308095135346,47.6317473058083,0.8055555555555556,31.441817665232513,47.61698048198316,False,1.3461800648755258,0.005555555555555536
62,2024-06-21,2024-06-27 23:00:00,168,59.273809523809526,85.30000000000001,107.0,9.331261019107904,0.7876984126984127,29.886833758372354,44.950903755273444,0.8194444444444444,31.63034332846952,45.03050334326143,False,3.932657203597259,0.019444444444444375
63,2024-06-22,2024-06-28 23:00:00,168,58.07738095238095,85.60000000000002,100.0,9.946922673422572,0.7797619047619048,30.512882850472366,45.312839469427686,0.8115079365079365,32.25639242056953,45.332336326310205,False,3.630824220548483,0.011507936507936467
64,2024-06-23,2024-06-29 23:00:00,168,58.529761904761905,86.0,101.0,10.280339792655626,0.7797619047619048,30.808856447434124,45.59731382618213,0.8174603174603174,32.55236601753129,45.576311023560635,True,3.3868495232980536,0.0174603174603174
65,2024-06-24,2024-06-30 23:00:00,168,61.041666666666664,86.0,101.0,9.05090568408487,0.8253968253968254,30.38795011560657,40.02200915585782,0.8630952380952381,32.13145968570374,40.34363468409203,True,8.619525862766658,0.0630952380952381
66,2024-06-25,2024-07-01 23:00:00,168,58.92857142857143,86.0,101.0,10.402071890796014,0.7777777777777778,30.717361853942577,47.67657930462764,0.8154761904761905,32.460871424039745,47.586106992130134,True,1.3770535547285547,0.015476190476190421
67,2024-06-26,2024-07-02 23:00:00,168,57.11309523809524,86.0,101.0,10.959749334938158,0.7599206349206349,30.936736335986808,49.07664373934549,0.8015873015873016,32.680245906083975,48.87515465659308,True,0.08800589026560601,0.0015873015873015817
